
RUNNING 20 EPISODES

BEGINNING EPISODE: 1

S: (0, 1), A: north, S': (0, 2), R: 0.0
S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: west, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: west, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (2, 3), R: 0.0

S: (2, 3), A: west, S': (2, 3), R: 0.0

S: (2, 3), A: north, S': (3, 3), R: 0.0

S: (3, 3), A: east, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: south, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (4, 3), R: 0.0

S: (4, 3), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: west, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: south, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: west, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: west, S': (3, 4), R: 0.0

S: (3, 4), A: east, S': (4, 4), R: 0.0

S: (4, 4), A: south, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (4, 4), R: 0.0

S: (4, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: south, S': (3, 3), R: 0.0

S: (3, 3), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: east, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: east, S': (3, 4), R: 0.0

S: (3, 4), A: north, S': (2, 4), R: 0.0

S: (2, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: east, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: west, S': (0, 3), R: 0.0

S: (0, 3), A: south, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 2), R: 0.0

S: (0, 2), A: north, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: south, S': (0, 3), R: 0.0

S: (0, 3), A: east, S': (0, 3), R: 0.0

S: (0, 3), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: south, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: west, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: north, S': (0, 4), R: 0.0

S: (0, 4), A: east, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

S: (1, 4), A: west, S': (1, 4), R: 0.0

S: (1, 4), A: north, S': (1, 4), R: 0.0

